source_index,group,actual,predicted,confidence,accepted
30,3|100|2|130,130,130,1.0,True
31,3|100|2|130,130,130,1.0,True
32,3|100|2|130,130,130,1.0,True
33,3|100|2|130,130,130,1.0,True
34,3|100|2|130,130,130,1.0,True
35,3|100|2|130,130,130,1.0,True
36,3|100|2|130,130,130,0.5238095238095238,False
37,3|100|2|130,130,130,0.9,True
38,3|100|2|130,130,130,1.0,True
39,3|100|2|130,130,130,1.0,True
130,3|80|2|115,115,115,1.0,True
131,3|80|2|115,115,115,1.0,False
132,3|80|2|115,115,115,0.9,True
133,3|80|2|115,115,115,0.9,False
134,3|80|2|115,115,115,0.9,True
135,3|80|2|115,115,115,0.9,True
136,3|80|2|115,115,115,0.9,True
137,3|80|2|115,115,115,1.0,True
138,3|80|2|115,115,115,1.0,True
139,3|80|2|115,115,115,1.0,True
170,3|80|1|115,115,115,0.5238095238095238,False
171,3|80|1|115,115,115,0.9,False
172,3|80|1|115,115,115,0.8461538461538461,False
173,3|80|1|115,115,115,0.9,True
174,3|80|1|115,115,115,1.0,True
175,3|80|1|115,115,115,1.0,True
176,3|80|1|115,115,115,1.0,True
177,3|80|1|115,115,115,1.0,True
178,3|80|1|115,115,115,0.9,True
179,3|80|1|115,115,115,1.0,True
240,3|73|2|100,100,115,0.7272727272727273,True
241,3|73|2|100,100,115,0.782608695652174,False
242,3|73|2|100,100,115,0.782608695652174,True
243,3|73|2|100,100,115,0.5238095238095238,False
244,3|73|2|100,100,115,0.5238095238095238,False
245,3|73|2|100,100,115,0.5238095238095238,False
246,3|73|2|100,100,115,0.5833333333333334,False
247,3|73|2|100,100,90,0.5238095238095238,False
248,3|73|2|100,100,90,0.5238095238095238,False
249,3|73|2|100,100,90,0.5238095238095238,False
340,3|90|0|100,100,100,0.782608695652174,False
341,3|90|0|100,100,100,0.5238095238095238,False
342,3|90|0|100,100,90,0.5238095238095238,False
343,3|90|0|100,100,100,0.7272727272727273,False
344,3|90|0|100,100,100,0.5238095238095238,False
345,3|90|0|100,100,90,0.5238095238095238,False
346,3|90|0|100,100,100,0.5238095238095238,False
347,3|90|0|100,100,90,0.5833333333333334,True
348,3|90|0|100,100,100,0.5238095238095238,False
349,3|90|0|100,100,100,0.5833333333333334,True
350,3|100|0|100,100,90,0.5238095238095238,False
351,3|100|0|100,100,90,0.5238095238095238,False
352,3|100|0|100,100,90,0.5238095238095238,False
353,3|100|0|100,100,90,0.5238095238095238,False
354,3|100|0|100,100,90,0.5833333333333334,True
355,3|100|0|100,100,100,0.5238095238095238,False
356,3|100|0|100,100,90,0.75,False
357,3|100|0|100,100,100,0.5238095238095238,False
358,3|100|0|100,100,90,0.5238095238095238,False
359,3|100|0|100,100,90,0.5833333333333334,True
460,3|90|0|90,90,90,0.782608695652174,True
461,3|90|0|90,90,90,0.5833333333333334,True
462,3|90|0|90,90,90,0.5238095238095238,False
