source_index,group,actual,predicted,confidence,accepted
30,3|100|2|130,100,100,0.5833333333333334,False
31,3|100|2|130,100,90,0.5,False
32,3|100|2|130,100,100,0.8484848484848485,False
33,3|100|2|130,100,100,0.8484848484848485,False
34,3|100|2|130,100,100,0.8484848484848485,False
35,3|100|2|130,100,100,0.7755102040816326,False
36,3|100|2|130,100,90,0.7755102040816326,False
37,3|100|2|130,100,100,0.3,False
38,3|100|2|130,100,100,0.8484848484848485,False
39,3|100|2|130,100,100,0.0,False
130,3|80|2|115,80,90,0.7755102040816326,False
131,3|80|2|115,80,90,0.8484848484848485,False
132,3|80|2|115,80,90,0.7755102040816326,False
133,3|80|2|115,80,80,0.5833333333333334,False
134,3|80|2|115,80,90,0.5714285714285714,False
135,3|80|2|115,80,80,0.3,False
136,3|80|2|115,80,73,0.3,False
137,3|80|2|115,80,80,0.5,False
138,3|80|2|115,80,90,0.3,False
139,3|80|2|115,80,80,0.3,False
170,3|80|1|115,80,90,0.8484848484848485,False
171,3|80|1|115,80,73,0.8484848484848485,False
172,3|80|1|115,80,90,0.8484848484848485,False
173,3|80|1|115,80,73,0.0,False
174,3|80|1|115,80,80,0.21545809740707694,False
175,3|80|1|115,80,80,0.3,False
176,3|80|1|115,80,80,0.0,False
177,3|80|1|115,80,90,0.7755102040816326,False
178,3|80|1|115,80,80,0.5714285714285714,False
179,3|80|1|115,80,73,0.0,False
240,3|73|2|100,73,73,0.8484848484848485,False
241,3|73|2|100,73,73,0.8484848484848485,False
242,3|73|2|100,73,73,0.8484848484848485,False
243,3|73|2|100,73,73,0.8484848484848485,False
244,3|73|2|100,73,73,0.7755102040816326,False
245,3|73|2|100,73,73,0.7755102040816326,False
246,3|73|2|100,73,73,0.9629629629629629,False
247,3|73|2|100,73,73,0.8484848484848485,False
248,3|73|2|100,73,73,0.3,False
249,3|73|2|100,73,73,0.7755102040816326,False
340,3|90|0|100,90,80,0.5714285714285714,False
341,3|90|0|100,90,80,0.8484848484848485,False
342,3|90|0|100,90,80,0.7755102040816326,False
343,3|90|0|100,90,90,0.5833333333333334,False
344,3|90|0|100,90,90,0.7039748447916692,False
345,3|90|0|100,90,100,0.5714285714285714,False
346,3|90|0|100,90,80,0.7755102040816326,False
347,3|90|0|100,90,80,0.7755102040816326,False
348,3|90|0|100,90,90,0.7755102040816326,False
349,3|90|0|100,90,90,0.8484848484848485,False
350,3|100|0|100,100,100,0.8484848484848485,False
351,3|100|0|100,100,100,0.5833333333333334,False
352,3|100|0|100,100,100,0.5714285714285714,False
353,3|100|0|100,100,80,0.7755102040816326,False
354,3|100|0|100,100,90,0.0,False
355,3|100|0|100,100,100,0.5,False
356,3|100|0|100,100,100,0.5714285714285714,False
357,3|100|0|100,100,90,0.5833333333333334,False
358,3|100|0|100,100,100,0.7755102040816326,False
359,3|100|0|100,100,100,0.0,False
460,3|90|0|90,90,90,0.5714285714285714,False
461,3|90|0|90,90,90,0.8484848484848485,False
462,3|90|0|90,90,80,0.5,False
463,3|90|0|90,90,90,0.8484848484848485,False
464,3|90|0|90,90,90,0.5714285714285714,False
465,3|90|0|90,90,80,0.5833333333333334,False
466,3|90|0|90,90,80,0.5714285714285714,False
467,3|90|0|90,90,90,0.5714285714285714,False
468,3|90|0|90,90,90,0.6384587661488792,False
469,3|90|0|90,90,100,0.5714285714285714,False
470,3|100|0|90,100,90,0.7755102040816326,False
471,3|100|0|90,100,90,0.3,False
472,3|100|0|90,100,90,0.3,False
473,3|100|0|90,100,90,0.7755102040816326,False
474,3|100|0|90,100,90,0.5833333333333334,False
475,3|100|0|90,100,100,0.7755102040816326,False
476,3|100|0|90,100,100,0.7755102040816326,False
477,3|100|0|90,100,90,0.3,False
478,3|100|0|90,100,90,0.3,False
479,3|100|0|90,100,90,0.8484848484848485,False
550,20|100|1|130,100,100,0.8484848484848485,False
551,20|100|1|130,100,100,0.7755102040816326,False
552,20|100|1|130,100,100,0.7755102040816326,False
553,20|100|1|130,100,100,0.8484848484848485,False
554,20|100|1|130,100,100,0.7755102040816326,False
555,20|100|1|130,100,100,0.5833333333333334,False
556,20|100|1|130,100,100,0.7755102040816326,False
557,20|100|1|130,100,100,0.7755102040816326,False
558,20|100|1|130,100,90,0.7755102040816326,False
559,20|100|1|130,100,100,0.7755102040816326,False
650,20|80|1|115,80,80,0.0,False
651,20|80|1|115,80,80,0.5833333333333334,False
652,20|80|1|115,80,80,0.5,False
653,20|80|1|115,80,80,0.7755102040816326,False
654,20|80|1|115,80,80,0.5833333333333334,False
655,20|80|1|115,80,80,0.8484848484848485,False
656,20|80|1|115,80,80,0.8484848484848485,False
657,20|80|1|115,80,80,0.8484848484848485,False
658,20|80|1|115,80,80,0.5833333333333334,False
659,20|80|1|115,80,80,0.7755102040816326,False
680,20|73|0|115,73,73,0.8484848484848485,False
681,20|73|0|115,73,73,0.8484848484848485,False
682,20|73|0|115,73,73,0.8484848484848485,False
683,20|73|0|115,73,73,0.8484848484848485,False
684,20|73|0|115,73,73,0.8484848484848485,False
685,20|73|0|115,73,73,0.8484848484848485,False
686,20|73|0|115,73,73,0.8484848484848485,False
687,20|73|0|115,73,73,0.8484848484848485,False
688,20|73|0|115,73,73,0.8484848484848485,False
689,20|73|0|115,73,73,0.8484848484848485,False
720,20|73|2|100,73,73,0.9166666666666666,False
721,20|73|2|100,73,73,0.8484848484848485,False
722,20|73|2|100,73,73,0.8484848484848485,False
723,20|73|2|100,73,73,0.8484848484848485,False
724,20|73|2|100,73,73,0.8484848484848485,False
725,20|73|2|100,73,73,0.8484848484848485,False
726,20|73|2|100,73,73,0.9166666666666666,False
727,20|73|2|100,73,73,0.8484848484848485,False
728,20|73|2|100,73,73,0.8484848484848485,False
729,20|73|2|100,73,73,0.8484848484848485,False
810,20|80|0|100,80,80,0.5833333333333334,False
811,20|80|0|100,80,80,0.7755102040816326,False
812,20|80|0|100,80,80,0.8484848484848485,False
813,20|80|0|100,80,80,0.7755102040816326,False
814,20|80|0|100,80,80,0.5833333333333334,False
815,20|80|0|100,80,90,0.5,False
816,20|80|0|100,80,90,0.5,False
817,20|80|0|100,80,80,0.7755102040816326,False
818,20|80|0|100,80,80,0.0,False
819,20|80|0|100,80,80,0.5714285714285714,False
850,20|80|2|90,80,80,0.5714285714285714,False
851,20|80|2|90,80,90,0.5,False
852,20|80|2|90,80,80,0.5,False
853,20|80|2|90,80,90,0.5,False
854,20|80|2|90,80,80,0.5,False
855,20|80|2|90,80,90,0.5833333333333334,False
856,20|80|2|90,80,73,0.5833333333333334,False
857,20|80|2|90,80,80,0.3,False
858,20|80|2|90,80,80,0.7755102040816326,False
859,20|80|2|90,80,80,0.5833333333333334,False
890,20|80|1|90,80,90,0.5833333333333334,False
891,20|80|1|90,80,80,0.7755102040816326,False
892,20|80|1|90,80,73,0.0,False
893,20|80|1|90,80,90,0.5,False
894,20|80|1|90,80,80,0.3,False
895,20|80|1|90,80,90,0.0,False
896,20|80|1|90,80,90,0.5833333333333334,False
897,20|80|1|90,80,90,0.5,False
898,20|80|1|90,80,80,0.5833333333333334,False
899,20|80|1|90,80,80,0.5714285714285714,False
910,20|100|1|90,100,100,0.8484848484848485,False
911,20|100|1|90,100,100,0.5714285714285714,False
912,20|100|1|90,100,90,0.5833333333333334,False
913,20|100|1|90,100,100,0.8484848484848485,False
914,20|100|1|90,100,100,0.8484848484848485,False
915,20|100|1|90,100,100,0.8484848484848485,False
916,20|100|1|90,100,100,0.8484848484848485,False
917,20|100|1|90,100,90,0.8484848484848485,False
918,20|100|1|90,100,90,0.7755102040816326,False
919,20|100|1|90,100,100,0.5,False
930,20|80|0|90,80,80,0.5,False
931,20|80|0|90,80,80,0.5714285714285714,False
932,20|80|0|90,80,73,0.7755102040816326,False
933,20|80|0|90,80,90,0.8484848484848485,False
934,20|80|0|90,80,80,0.5714285714285714,False
935,20|80|0|90,80,90,0.5,False
936,20|80|0|90,80,73,0.0,False
937,20|80|0|90,80,73,0.0,False
938,20|80|0|90,80,73,0.3333333333333333,False
939,20|80|0|90,80,90,0.5833333333333334,False
1010,100|80|1|130,80,100,0.5,False
1011,100|80|1|130,80,90,0.3,False
1012,100|80|1|130,80,80,0.7755102040816326,False
1013,100|80|1|130,80,80,0.8333473397221021,False
1014,100|80|1|130,80,100,0.30771417844101007,False
1015,100|80|1|130,80,80,0.7755102040816326,False
1016,100|80|1|130,80,80,0.7755102040816326,False
1017,100|80|1|130,80,80,0.8484848484848485,False
1018,100|80|1|130,80,80,0.8484848484848485,False
1019,100|80|1|130,80,100,0.5,False
1030,100|100|1|130,100,100,0.5714285714285714,False
1031,100|100|1|130,100,100,0.8484848484848485,False
1032,100|100|1|130,100,100,0.8484848484848485,False
1033,100|100|1|130,100,100,0.8484848484848485,False
1034,100|100|1|130,100,100,0.8484848484848485,False
1035,100|100|1|130,100,100,0.9629629629629629,False
1036,100|100|1|130,100,100,0.8484848484848485,False
1037,100|100|1|130,100,100,0.8484848484848485,False
1038,100|100|1|130,100,100,0.5833333333333334,False
1039,100|100|1|130,100,100,0.9629629629629629,False
1100,100|90|2|115,90,90,0.5833333333333334,False
1101,100|90|2|115,90,100,0.9166666666666666,False
1102,100|90|2|115,90,90,0.7755102040816326,False
1103,100|90|2|115,90,100,0.8484848484848485,False
1104,100|90|2|115,90,80,0.5,False
1105,100|90|2|115,90,80,0.5714285714285714,False
1106,100|90|2|115,90,100,0.8484848484848485,False
1107,100|90|2|115,90,100,0.8484848484848485,False
1108,100|90|2|115,90,100,0.8484848484848485,False
1109,100|90|2|115,90,100,0.8484848484848485,False
1190,100|100|0|115,100,100,0.8484848484848485,False
1191,100|100|0|115,100,90,0.7755102040816326,False
1192,100|100|0|115,100,100,0.5833333333333334,False
1193,100|100|0|115,100,100,0.5714285714285714,False
1194,100|100|0|115,100,100,0.9629629629629629,False
1195,100|100|0|115,100,100,0.8484848484848485,False
1196,100|100|0|115,100,100,0.7755102040816326,False
1197,100|100|0|115,100,100,0.8484848484848485,False
1198,100|100|0|115,100,100,0.9166666666666666,False
1199,100|100|0|115,100,100,0.9629629629629629,False
1210,100|80|2|100,80,80,0.8484848484848485,False
1211,100|80|2|100,80,80,0.8484848484848485,False
1212,100|80|2|100,80,80,0.8484848484848485,False
1213,100|80|2|100,80,80,0.7755102040816326,False
1214,100|80|2|100,80,80,0.7755102040816326,False
1215,100|80|2|100,80,80,0.8484848484848485,False
1216,100|80|2|100,80,80,0.7755102040816326,False
1217,100|80|2|100,80,80,0.8484848484848485,False
1218,100|80|2|100,80,80,0.7755102040816326,False
1219,100|80|2|100,80,80,0.7755102040816326,False
1230,100|100|2|100,100,100,0.9166666666666666,False
1231,100|100|2|100,100,100,0.9166666666666666,False
1232,100|100|2|100,100,100,0.9166666666666666,False
1233,100|100|2|100,100,100,0.9166666666666666,False
1234,100|100|2|100,100,100,0.8484848484848485,False
1235,100|100|2|100,100,100,0.9629629629629629,False
1236,100|100|2|100,100,100,0.9629629629629629,False
1237,100|100|2|100,100,100,0.9629629629629629,False
1238,100|100|2|100,100,100,0.8484848484848485,False
1239,100|100|2|100,100,100,0.9629629629629629,False
1290,100|80|0|100,80,80,0.8484848484848485,False
1291,100|80|0|100,80,80,0.8484848484848485,False
1292,100|80|0|100,80,80,0.8484848484848485,False
1293,100|80|0|100,80,80,0.7755102040816326,False
1294,100|80|0|100,80,80,0.7755102040816326,False
1295,100|80|0|100,80,80,0.5833333333333334,False
1296,100|80|0|100,80,80,0.8484848484848485,False
1297,100|80|0|100,80,80,0.7755102040816326,False
1298,100|80|0|100,80,80,0.7755102040816326,False
1299,100|80|0|100,80,80,0.8484848484848485,False
1300,100|90|0|100,90,90,0.5,False
1301,100|90|0|100,90,90,0.5833333333333334,False
