source_index,group,actual,predicted,confidence,accepted
6,7,0,0,1.0,True
8,16,0,1,0.7222222222222222,True
11,12,0,2,0.7222222222222222,True
28,16,0,0,1.0,True
31,7,0,0,1.0,True
34,3,0,0,1.0,True
40,7,0,0,0.7222222222222222,True
43,3,0,1,0.7222222222222222,True
45,3,0,0,1.0,True
46,12,0,0,0.9166666666666666,True
53,3,0,0,1.0,True
55,3,0,0,1.0,True
63,12,0,0,0.7222222222222222,True
73,3,0,1,0.9166666666666666,True
76,16,0,0,1.0,True
80,16,0,0,1.0,True
89,3,0,0,0.9389577554513261,True
92,7,0,0,1.0,True
99,3,0,0,1.0,True
104,12,0,0,1.0,True
110,16,0,0,0.9888788476527371,True
115,3,0,0,1.0,True
119,12,0,0,1.0,True
124,12,0,0,1.0,True
126,12,0,0,0.9166666666666666,True
127,12,0,0,1.0,True
137,7,0,0,0.9166666666666666,True
139,3,0,0,0.9166666666666666,True
140,7,0,0,1.0,True
143,16,0,0,1.0,True
145,3,0,0,1.0,True
146,16,0,0,1.0,True
154,16,0,0,1.0,True
160,12,0,0,0.9166666666666666,True
161,3,0,1,0.8532657237849418,True
162,3,0,0,1.0,True
166,12,0,0,0.9166666666666666,True
168,12,0,0,1.0,True
174,16,0,0,0.9166666666666666,True
183,3,0,0,1.0,True
186,3,0,0,0.9166666666666666,True
191,16,0,2,0.9166666666666666,True
207,3,0,0,1.0,True
210,12,0,0,1.0,True
215,12,0,0,0.7222222222222222,True
220,3,0,0,1.0,True
222,3,0,0,1.0,True
224,12,0,0,1.0,True
225,7,0,0,1.0,True
227,7,0,0,0.9166666666666666,True
229,16,0,0,0.7222222222222222,True
238,3,0,0,1.0,True
247,16,0,0,1.0,True
248,12,0,0,1.0,True
255,12,0,0,0.9166666666666666,True
258,16,0,0,1.0,True
264,12,0,0,1.0,True
275,16,0,0,1.0,True
276,7,0,0,1.0,True
282,3,0,0,1.0,True
285,16,0,0,1.0,True
286,7,0,0,1.0,True
287,12,0,0,1.0,True
295,12,0,0,0.9166666666666666,True
298,16,0,0,1.0,True
299,16,0,0,1.0,True
308,3,1,0,0.9166666666666666,True
312,7,1,0,0.7222222222222222,True
313,12,1,1,0.7222222222222222,True
314,16,1,0,0.7222222222222222,True
320,7,1,1,0.7222222222222222,True
325,3,1,1,0.7222222222222222,True
331,7,1,0,0.9166666666666666,True
342,3,1,1,0.9166666666666666,True
354,16,1,1,0.9166666666666666,True
361,12,1,1,0.9166666666666666,True
365,7,1,1,1.0,True
386,12,1,1,1.0,True
388,7,1,1,1.0,True
390,16,1,1,1.0,True
392,7,1,1,1.0,True
400,7,1,1,1.0,True
403,16,1,1,1.0,True
410,7,1,1,1.0,True
418,3,1,1,1.0,True
429,7,1,1,1.0,True
434,16,1,1,1.0,True
435,7,1,1,1.0,True
438,16,1,1,1.0,True
439,12,1,1,1.0,True
451,16,1,1,1.0,True
455,7,1,1,1.0,True
458,7,1,1,1.0,True
459,7,1,1,1.0,True
464,7,1,1,1.0,True
465,16,1,1,1.0,True
469,3,1,1,1.0,True
475,3,1,1,1.0,True
476,12,1,1,1.0,True
490,16,1,1,1.0,True
491,7,1,1,1.0,True
492,12,1,1,1.0,True
493,16,1,1,1.0,True
496,3,1,1,1.0,True
501,12,1,1,1.0,True
502,16,1,1,1.0,True
508,12,1,1,1.0,True
514,3,1,1,1.0,True
518,16,1,1,1.0,True
522,7,1,1,1.0,True
531,7,1,1,1.0,True
536,16,1,1,1.0,True
546,12,1,1,1.0,True
549,3,1,1,1.0,True
552,16,1,1,1.0,True
553,12,1,1,1.0,True
576,3,1,1,1.0,True
583,16,1,1,1.0,True
587,7,1,1,1.0,True
591,7,1,1,1.0,True
595,7,1,1,1.0,True
596,16,1,1,1.0,True
597,7,1,1,1.0,True
598,7,1,1,1.0,True
613,7,1,1,1.0,True
617,3,1,1,1.0,True
620,3,1,1,1.0,True
627,7,1,1,1.0,True
632,3,1,1,1.0,True
641,12,1,1,1.0,True
646,7,1,1,1.0,True
649,7,1,1,1.0,True
651,12,1,1,1.0,True
662,3,1,1,1.0,True
664,3,1,1,1.0,True
666,7,1,1,1.0,True
673,3,1,1,1.0,True
676,16,1,1,1.0,True
678,3,1,1,1.0,True
680,3,1,1,1.0,True
684,12,1,1,1.0,True
693,12,1,1,1.0,True
698,3,1,1,1.0,True
709,7,1,1,1.0,True
712,16,1,1,1.0,True
719,12,1,1,1.0,True
721,7,1,1,1.0,True
729,3,1,1,1.0,True
730,3,1,1,1.0,True
733,7,1,1,1.0,True
735,3,1,1,1.0,True
736,7,1,1,1.0,True
737,7,1,1,1.0,True
741,12,1,1,1.0,True
750,12,1,1,1.0,True
752,16,1,1,1.0,True
754,16,1,1,1.0,True
760,12,1,1,1.0,True
761,12,1,1,1.0,True
762,3,1,1,1.0,True
771,16,1,1,1.0,True
772,7,1,1,1.0,True
781,16,1,1,1.0,True
797,12,1,1,0.9166666666666666,True
800,16,2,0,0.7222222222222222,True
806,16,2,0,0.7222222222222222,True
807,3,2,0,0.7222222222222222,True
809,7,2,0,0.7222222222222222,True
810,16,2,0,0.7222222222222222,True
817,3,2,2,0.7222222222222222,True
818,3,2,2,0.7222222222222222,True
824,16,2,2,0.7222222222222222,True
826,7,2,2,0.7222222222222222,True
828,7,2,2,0.7222222222222222,True
833,12,2,3,0.7110059666999918,True
842,3,2,3,0.7222222222222222,True
844,3,2,3,0.7222222222222222,True
850,16,2,2,1.0,True
855,3,2,2,1.0,True
862,3,2,2,1.0,True
869,7,2,2,1.0,True
873,7,2,2,1.0,True
896,7,2,2,1.0,True
898,3,2,2,1.0,True
901,3,2,2,1.0,True
905,7,2,2,0.9166666666666666,False
906,3,2,2,0.9166666666666666,False
908,7,2,2,0.9166666666666666,False
909,16,2,2,0.9166666666666666,False
910,12,2,2,0.9166666666666666,False
911,7,2,2,0.9166666666666666,False
915,16,2,2,0.9166666666666666,True
922,7,2,2,0.9166666666666666,True
929,3,2,2,1.0,True
934,12,2,2,1.0,True
951,16,2,2,1.0,True
961,12,2,2,1.0,True
963,3,2,2,1.0,True
968,7,2,2,1.0,True
969,3,2,2,1.0,True
970,12,2,2,1.0,True
971,12,2,2,1.0,True
973,16,2,2,1.0,True
979,12,2,2,1.0,True
984,7,2,2,1.0,True
998,12,2,2,1.0,True
1000,3,2,2,1.0,True
1004,3,2,2,1.0,True
1005,16,2,2,1.0,True
1006,12,2,2,1.0,True
1008,16,2,2,1.0,True
1014,16,2,2,1.0,True
1015,3,2,2,1.0,True
1017,12,2,2,1.0,True
1019,16,2,2,1.0,True
1029,3,2,2,1.0,True
1031,12,2,2,1.0,True
1034,7,2,2,1.0,True
1035,7,2,2,1.0,True
1036,7,2,2,1.0,True
1037,12,2,2,1.0,True
1038,3,2,2,1.0,True
1039,3,2,2,1.0,True
1046,16,2,2,1.0,True
1047,16,2,2,1.0,True
1052,16,2,2,1.0,True
1053,16,2,2,1.0,True
1059,7,2,2,1.0,True
1068,12,2,2,1.0,True
1083,16,2,2,1.0,True
1090,12,2,2,1.0,True
1094,16,2,2,1.0,True
1099,7,2,2,1.0,True
1110,3,2,2,1.0,True
1111,16,2,2,1.0,True
1112,3,2,2,1.0,True
1118,7,2,2,1.0,True
