unit,cycle,fold,actual,predicted,error,phase,rul_band,cap_error_floor,lifetime_above_training_max,ambient_temperature,uid,fixed_checkpoint
B0006,1.0,1,108.0,89.21866666666668,-18.781333333333322,early,>100,0.0,True,24.0,4506,True
B0006,2.0,1,107.0,88.65666666666667,-18.343333333333334,early,>100,0.0,True,24.0,4508,True
B0006,3.0,1,106.0,88.49266666666666,-17.507333333333335,early,>100,0.0,True,24.0,4510,True
B0006,4.0,1,105.0,88.24933333333334,-16.75066666666666,early,>100,0.0,True,24.0,4512,True
B0006,5.0,1,104.0,86.52133333333335,-17.478666666666655,early,>100,0.0,True,24.0,4514,True
B0006,6.0,1,103.0,87.60866666666666,-15.391333333333336,early,>100,0.0,True,24.0,4516,True
B0006,7.0,1,102.0,86.42866666666667,-15.571333333333328,early,>100,0.0,True,24.0,4518,True
B0006,8.0,1,101.0,86.36133333333335,-14.638666666666651,early,>100,0.0,True,24.0,4520,True
B0006,9.0,1,100.0,85.91133333333335,-14.088666666666654,early,31-100,0.0,True,24.0,4522,True
B0006,10.0,1,99.0,82.1,-16.900000000000006,early,31-100,0.0,True,24.0,4524,True
B0006,11.0,1,98.0,84.89533333333334,-13.10466666666666,early,31-100,0.0,True,24.0,4526,True
B0006,12.0,1,97.0,83.62333333333335,-13.376666666666651,early,31-100,0.0,True,24.0,4529,True
B0006,13.0,1,96.0,83.56733333333334,-12.432666666666663,early,31-100,0.0,True,24.0,4531,True
B0006,14.0,1,95.0,82.94733333333335,-12.052666666666653,early,31-100,0.0,True,24.0,4533,True
B0006,15.0,1,94.0,77.79133333333333,-16.208666666666673,early,31-100,0.0,True,24.0,4535,True
B0006,16.0,1,93.0,76.75666666666666,-16.24333333333334,early,31-100,0.0,True,24.0,4537,True
B0006,17.0,1,92.0,79.93066666666667,-12.069333333333333,early,31-100,0.0,True,24.0,4539,True
B0006,18.0,1,91.0,77.48733333333332,-13.512666666666675,early,31-100,0.0,True,24.0,4541,True
B0006,19.0,1,90.0,81.24133333333334,-8.758666666666656,early,31-100,0.0,True,24.0,4543,True
B0006,20.0,1,89.0,79.84666666666668,-9.153333333333322,early,31-100,0.0,True,24.0,4546,True
B0006,21.0,1,88.0,82.27333333333334,-5.7266666666666595,early,31-100,0.0,True,24.0,4550,True
B0006,22.0,1,87.0,79.51866666666668,-7.481333333333325,early,31-100,0.0,True,24.0,4554,True
B0006,23.0,1,86.0,80.47266666666667,-5.527333333333331,early,31-100,0.0,True,24.0,4558,True
B0006,24.0,1,85.0,81.73066666666668,-3.2693333333333214,early,31-100,0.0,True,24.0,4562,True
B0006,25.0,1,84.0,79.70533333333333,-4.2946666666666715,early,31-100,0.0,True,24.0,4566,True
B0006,26.0,1,83.0,77.27333333333333,-5.726666666666674,early,31-100,0.0,True,24.0,4570,True
B0006,27.0,1,82.0,80.34866666666667,-1.6513333333333264,early,31-100,0.0,True,24.0,4574,True
B0006,28.0,1,81.0,80.20333333333333,-0.7966666666666669,early,31-100,0.0,True,24.0,4578,True
B0006,29.0,1,80.0,80.36333333333334,0.36333333333334394,early,31-100,0.0,True,24.0,4582,True
B0006,30.0,1,79.0,78.61133333333335,-0.3886666666666514,early,31-100,0.0,True,24.0,4586,True
B0006,31.0,1,78.0,80.73800000000001,2.7380000000000138,early,31-100,0.0,True,24.0,4590,True
B0006,32.0,1,77.0,81.716,4.715999999999994,early,31-100,0.0,True,24.0,4594,True
B0006,33.0,1,76.0,81.568,5.567999999999998,early,31-100,0.0,True,24.0,4598,True
B0006,34.0,1,75.0,79.964,4.963999999999999,early,31-100,0.0,True,24.0,4602,True
B0006,35.0,1,74.0,78.38666666666667,4.38666666666667,early,31-100,0.0,True,24.0,4606,True
B0006,36.0,1,73.0,78.50066666666667,5.500666666666675,early,31-100,0.0,True,24.0,4610,True
B0006,37.0,1,72.0,77.49733333333334,5.497333333333344,middle,31-100,0.0,True,24.0,4614,True
B0006,38.0,1,71.0,74.618,3.617999999999995,middle,31-100,0.0,True,24.0,4618,True
B0006,39.0,1,70.0,72.32,2.319999999999993,middle,31-100,0.0,True,24.0,4622,True
B0006,40.0,1,69.0,69.93866666666668,0.938666666666677,middle,31-100,0.0,True,24.0,4626,True
B0006,41.0,1,68.0,66.998,-1.0019999999999953,middle,31-100,0.0,True,24.0,4630,True
B0006,42.0,1,67.0,64.22133333333333,-2.778666666666666,middle,31-100,0.0,True,24.0,4634,True
B0006,43.0,1,66.0,63.077333333333335,-2.9226666666666645,middle,31-100,0.0,True,24.0,4638,True
B0006,44.0,1,65.0,65.79266666666668,0.7926666666666762,middle,31-100,0.0,True,24.0,4640,True
