actual,group,source_index,previous,candidate,fold
130,3|73|2|130,0,115.0,130.0,0
130,3|73|2|130,1,130.0,130.0,0
130,3|73|2|130,2,130.0,130.0,0
130,3|73|2|130,3,115.0,130.0,0
130,3|73|2|130,4,115.0,130.0,0
130,3|73|2|130,5,130.0,130.0,0
130,3|73|2|130,6,130.0,130.0,0
130,3|73|2|130,7,130.0,130.0,0
130,3|73|2|130,8,130.0,130.0,0
130,3|73|2|130,9,130.0,130.0,0
130,3|80|2|130,10,130.0,130.0,1
130,3|80|2|130,11,130.0,130.0,1
130,3|80|2|130,12,130.0,130.0,1
130,3|80|2|130,13,130.0,130.0,1
130,3|80|2|130,14,130.0,130.0,1
130,3|80|2|130,15,130.0,130.0,1
130,3|80|2|130,16,130.0,130.0,1
130,3|80|2|130,17,130.0,130.0,1
130,3|80|2|130,18,130.0,130.0,1
130,3|80|2|130,19,130.0,130.0,1
130,3|90|2|130,20,130.0,130.0,4
130,3|90|2|130,21,130.0,130.0,4
130,3|90|2|130,22,130.0,130.0,4
130,3|90|2|130,23,130.0,130.0,4
130,3|90|2|130,24,130.0,130.0,4
130,3|90|2|130,25,130.0,130.0,4
130,3|90|2|130,26,130.0,130.0,4
130,3|90|2|130,27,130.0,130.0,4
130,3|90|2|130,28,130.0,130.0,4
130,3|90|2|130,29,130.0,130.0,4
130,3|100|2|130,30,130.0,130.0,2
130,3|100|2|130,31,130.0,130.0,2
130,3|100|2|130,32,130.0,130.0,2
130,3|100|2|130,33,130.0,130.0,2
130,3|100|2|130,34,130.0,130.0,2
130,3|100|2|130,35,130.0,130.0,2
130,3|100|2|130,36,130.0,130.0,2
130,3|100|2|130,37,130.0,130.0,2
130,3|100|2|130,38,130.0,130.0,2
130,3|100|2|130,39,130.0,130.0,2
130,3|73|1|130,40,130.0,130.0,1
130,3|73|1|130,41,130.0,130.0,1
130,3|73|1|130,42,130.0,130.0,1
130,3|73|1|130,43,130.0,130.0,1
130,3|73|1|130,44,130.0,130.0,1
130,3|73|1|130,45,130.0,130.0,1
130,3|73|1|130,46,130.0,130.0,1
130,3|73|1|130,47,130.0,130.0,1
130,3|73|1|130,48,130.0,130.0,1
130,3|73|1|130,49,130.0,130.0,1
130,3|80|1|130,50,130.0,130.0,1
130,3|80|1|130,51,130.0,130.0,1
130,3|80|1|130,52,130.0,130.0,1
130,3|80|1|130,53,130.0,130.0,1
130,3|80|1|130,54,130.0,130.0,1
130,3|80|1|130,55,130.0,130.0,1
130,3|80|1|130,56,130.0,130.0,1
130,3|80|1|130,57,130.0,130.0,1
130,3|80|1|130,58,130.0,130.0,1
130,3|80|1|130,59,130.0,130.0,1
130,3|90|1|130,60,130.0,130.0,3
130,3|90|1|130,61,130.0,130.0,3
130,3|90|1|130,62,130.0,130.0,3
130,3|90|1|130,63,130.0,130.0,3
130,3|90|1|130,64,130.0,130.0,3
130,3|90|1|130,65,130.0,130.0,3
130,3|90|1|130,66,130.0,130.0,3
130,3|90|1|130,67,130.0,130.0,3
130,3|90|1|130,68,130.0,130.0,3
130,3|90|1|130,69,130.0,130.0,3
130,3|100|1|130,70,130.0,130.0,3
130,3|100|1|130,71,130.0,130.0,3
130,3|100|1|130,72,130.0,130.0,3
130,3|100|1|130,73,130.0,130.0,3
130,3|100|1|130,74,130.0,130.0,3
130,3|100|1|130,75,130.0,130.0,3
130,3|100|1|130,76,130.0,130.0,3
130,3|100|1|130,77,130.0,130.0,3
130,3|100|1|130,78,130.0,130.0,3
130,3|100|1|130,79,130.0,130.0,3
130,3|73|0|130,80,130.0,130.0,4
130,3|73|0|130,81,130.0,130.0,4
130,3|73|0|130,82,130.0,130.0,4
130,3|73|0|130,83,130.0,130.0,4
130,3|73|0|130,84,130.0,130.0,4
130,3|73|0|130,85,130.0,130.0,4
130,3|73|0|130,86,130.0,130.0,4
130,3|73|0|130,87,130.0,130.0,4
130,3|73|0|130,88,130.0,130.0,4
130,3|73|0|130,89,130.0,130.0,4
130,3|80|0|130,90,130.0,130.0,0
130,3|80|0|130,91,130.0,130.0,0
130,3|80|0|130,92,130.0,130.0,0
130,3|80|0|130,93,130.0,130.0,0
130,3|80|0|130,94,130.0,130.0,0
130,3|80|0|130,95,130.0,130.0,0
130,3|80|0|130,96,130.0,130.0,0
130,3|80|0|130,97,130.0,130.0,0
130,3|80|0|130,98,130.0,130.0,0
130,3|80|0|130,99,130.0,130.0,0
130,3|90|0|130,100,130.0,130.0,3
130,3|90|0|130,101,130.0,130.0,3
130,3|90|0|130,102,130.0,130.0,3
