actual,group,source_index,previous,candidate,fold
73,3|73|2|130,0,80.0,73.0,1
73,3|73|2|130,1,73.0,73.0,1
73,3|73|2|130,2,73.0,73.0,1
73,3|73|2|130,3,80.0,73.0,1
73,3|73|2|130,4,80.0,73.0,1
73,3|73|2|130,5,73.0,73.0,1
73,3|73|2|130,6,73.0,73.0,1
73,3|73|2|130,7,73.0,73.0,1
73,3|73|2|130,8,73.0,73.0,1
73,3|73|2|130,9,73.0,73.0,1
80,3|80|2|130,10,80.0,80.0,4
80,3|80|2|130,11,80.0,80.0,4
80,3|80|2|130,12,80.0,80.0,4
80,3|80|2|130,13,80.0,80.0,4
80,3|80|2|130,14,80.0,80.0,4
80,3|80|2|130,15,80.0,80.0,4
80,3|80|2|130,16,80.0,80.0,4
80,3|80|2|130,17,80.0,80.0,4
80,3|80|2|130,18,80.0,80.0,4
80,3|80|2|130,19,80.0,80.0,4
90,3|90|2|130,20,90.0,90.0,4
90,3|90|2|130,21,90.0,90.0,4
90,3|90|2|130,22,90.0,90.0,4
90,3|90|2|130,23,90.0,90.0,4
90,3|90|2|130,24,90.0,90.0,4
90,3|90|2|130,25,90.0,90.0,4
90,3|90|2|130,26,90.0,90.0,4
90,3|90|2|130,27,90.0,90.0,4
90,3|90|2|130,28,100.0,90.0,4
90,3|90|2|130,29,90.0,90.0,4
100,3|100|2|130,30,100.0,100.0,0
100,3|100|2|130,31,100.0,100.0,0
100,3|100|2|130,32,100.0,100.0,0
100,3|100|2|130,33,100.0,100.0,0
100,3|100|2|130,34,100.0,100.0,0
100,3|100|2|130,35,100.0,100.0,0
100,3|100|2|130,36,90.0,100.0,0
100,3|100|2|130,37,73.0,100.0,0
100,3|100|2|130,38,100.0,100.0,0
100,3|100|2|130,39,100.0,100.0,0
73,3|73|1|130,40,73.0,73.0,2
73,3|73|1|130,41,73.0,73.0,2
73,3|73|1|130,42,73.0,73.0,2
73,3|73|1|130,43,73.0,73.0,2
73,3|73|1|130,44,73.0,73.0,2
73,3|73|1|130,45,73.0,73.0,2
73,3|73|1|130,46,73.0,73.0,2
73,3|73|1|130,47,73.0,73.0,2
73,3|73|1|130,48,73.0,73.0,2
73,3|73|1|130,49,80.0,73.0,2
80,3|80|1|130,50,80.0,80.0,0
80,3|80|1|130,51,80.0,80.0,0
80,3|80|1|130,52,90.0,80.0,0
80,3|80|1|130,53,80.0,80.0,0
80,3|80|1|130,54,90.0,80.0,0
80,3|80|1|130,55,80.0,80.0,0
80,3|80|1|130,56,80.0,80.0,0
80,3|80|1|130,57,80.0,80.0,0
80,3|80|1|130,58,80.0,80.0,0
80,3|80|1|130,59,80.0,80.0,0
90,3|90|1|130,60,90.0,90.0,1
90,3|90|1|130,61,90.0,90.0,1
90,3|90|1|130,62,90.0,90.0,1
90,3|90|1|130,63,90.0,90.0,1
90,3|90|1|130,64,90.0,90.0,1
90,3|90|1|130,65,90.0,90.0,1
90,3|90|1|130,66,90.0,90.0,1
90,3|90|1|130,67,90.0,90.0,1
90,3|90|1|130,68,90.0,90.0,1
90,3|90|1|130,69,90.0,90.0,1
100,3|100|1|130,70,100.0,100.0,4
100,3|100|1|130,71,100.0,100.0,4
100,3|100|1|130,72,100.0,100.0,4
100,3|100|1|130,73,100.0,100.0,4
100,3|100|1|130,74,100.0,100.0,4
100,3|100|1|130,75,100.0,100.0,4
100,3|100|1|130,76,100.0,100.0,4
100,3|100|1|130,77,100.0,100.0,4
100,3|100|1|130,78,100.0,100.0,4
100,3|100|1|130,79,100.0,100.0,4
73,3|73|0|130,80,73.0,73.0,0
73,3|73|0|130,81,73.0,73.0,0
73,3|73|0|130,82,73.0,73.0,0
73,3|73|0|130,83,73.0,73.0,0
73,3|73|0|130,84,73.0,73.0,0
73,3|73|0|130,85,73.0,73.0,0
73,3|73|0|130,86,73.0,73.0,0
